ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1176,"Sucrase-isomaltase, intestinal",SI,36645,X63597,P14410,SUIS_HUMAN,3LPO; 3LPP,SI,SI,HGNC:10856,Humans,DB00284
1178,Tissue factor,F3,339504,M16553,P13726,TF_HUMAN,1AHW; 1BOY; 1DAN; 1FAK; 1J9C; 1JPS; 1O5D; 1TFH; 1UJ3; 1W0Y; 1W2K; 1WQV; 1WSS; 1WTG; 1WUN; 1WV7; 1Z6J; 2A2Q; 2AEI; 2AER; 2B7D; 2B8O; 2C4F; 2CEF; 2CEH; 2CEZ; 2CFJ; 2EC9; 2F9B; 2FIR; 2FLB; 2FLR; 2HFT; 2PUQ; 2ZP0; 2ZWL; 2ZZU; 3ELA; 3TH2; 3TH3; 3TH4; 4IBL; 4M7L; 4YLQ; 4Z6A; 4ZMA; 5W06; 6R2W; 6Z9W; 8CN9; 8QOD; 8QQ6; 8UUD,F3,F3,HGNC:3541,Humans,DB00036; DB13150; DB16732
1180,Fibronectin,FN1,12053817,AJ276395,P02751,FINC_HUMAN,1E88; 1E8B; 1FBR; 1FNA; 1FNF; 1FNH; 1J8K; 1O9A; 1OWW; 1Q38; 1QGB; 1QO6; 1TTF; 1TTG; 2CG6; 2CG7; 2CK2; 2CKU; 2EC3; 2FN2; 2FNB; 2GEE; 2H41; 2H45; 2HA1; 2MNU; 2N1K; 2OCF; 2RKY; 2RKZ; 2RL0; 3CAL; 3EJH; 3GXE; 3M7P; 3MQL; 3R8Q; 3T1W; 3ZRZ; 4GH7; 4JE4; 4JEG; 4LXO; 4MMX; 4MMY; 4MMZ; 4PZ5; 5DC0; 5DC4; 5DC9; 5DFT; 5J6Z; 5J7C; 5M0A; 5N47; 5N48; 6HNF; 6MFA; 6MSV; 6NAJ; 6XAX; 6XAY; 7NWL; 8PEQ,FN1,FN1,HGNC:3778,Humans,DB08888
1182,Neutrophil collagenase,MMP8,180618,J05556,P22894,MMP8_HUMAN,1A85; 1A86; 1BZS; 1I73; 1I76; 1JAN; 1JAO; 1JAP; 1JAQ; 1JH1; 1JJ9; 1KBC; 1MMB; 1MNC; 1ZP5; 1ZS0; 1ZVX; 2OY2; 2OY4; 3DNG; 3DPE; 3DPF; 3TT4; 4QKZ; 5H8X,MMP8,MMP8,HGNC:7175,Humans,DB00786; DB02326; DB02953; DB08403; DB08476
1183,Insulin-degrading enzyme,IDE,184556,M21188,P14735,IDE_HUMAN,2G47; 2G48; 2G49; 2G54; 2G56; 2JBU; 2JG4; 2WBY; 2WC0; 2WK3; 2YPU; 3CWW; 3E4A; 3E4Z; 3E50; 3H44; 3HGZ; 3N56; 3N57; 3OFI; 3QZ2; 4DTT; 4DWK; 4GS8; 4GSC; 4GSF; 4IFH; 4IOF; 4LTE; 4M1C; 4NXO; 4PES; 4PF7; 4PF9; 4PFC; 4QIA; 4RAL; 4RE9; 5CJO; 5UOE; 5WOB; 6B3Q; 6B70; 6B7Y; 6B7Z; 6BF6; 6BF7; 6BF8; 6BF9; 6BFC; 6BYZ; 6EDS; 6MQ3; 7K1D; 7K1E; 7K1F; 7RZE; 7RZF; 7RZG; 7RZH; 7RZI,IDE,IDE,HGNC:5381,Humans,DB00626
1184,NAD(P)H dehydrogenase [quinone] 1,NQO1,189246,J03934,P15559,NQO1_HUMAN,1D4A; 1DXO; 1GG5; 1H66; 1H69; 1KBO; 1KBQ; 1QBG; 2F1O; 3JSX; 4CET; 4CF6; 5A4K; 5EA2; 5EAI; 5FUQ; 6FY4; 6LLC; 8C9J; 8OK0; 8PQN; 8RFM; 8RFN,NQO1,NQO1,HGNC:2874,Humans,DB01927; DB02400; DB03147; DB04392
1186,Transient receptor potential cation channel subfamily M member 8,TRPM8,20147036,AY090109,Q7Z2W7,TRPM8_HUMAN,8BDC,TRPM8,TRPM8,HGNC:17961,Humans,DB00825; DB01744; DB11345; DB11755
1192,Metabotropic glutamate receptor 5,GRM5,1408052,D28538,P41594,GRM5_HUMAN,3LMK; 4OO9; 5CGC; 5CGD; 6N4X; 6N4Y; 6N50; 6N51; 6N52; 7FD8; 7FD9; 8T6J; 8T7H; 8T8M; 8TAO; 8X0B; 8X0C; 8X0D; 8X0E; 8X0F; 8X0G; 8X0H,GRM5,GRM5,HGNC:4597,Humans,DB00659
1195,Cystic fibrosis transmembrane conductance regulator,CFTR,180332,M28668,P13569,CFTR_HUMAN,1XMI; 1XMJ; 2BBO; 2BBS; 2BBT; 2LOB; 2PZE; 2PZF; 2PZG; 3GD7; 3ISW; 4WZ6; 5D2D; 5D3E; 5D3F; 5TF7; 5TF8; 5TFA; 5TFB; 5TFC; 5TFD; 5TFF; 5TFG; 5TFI; 5TFJ; 5TGK; 5UAK; 6GJQ; 6GJS; 6GJU; 6GK4; 6GKD; 6HEP; 6MSM; 6O1V; 6O2P; 6UK1; 6WBS; 6ZE1; 7QI1; 7SV7; 7SVD; 7SVR; 8EIG; 8EIO; 8EIQ; 8EJ1; 8FZQ; 8GLS; 8UBR; 8V7Z; 8V81; 9DW4; 9DW5; 9DW7; 9DW8; 9DW9,CFTR,CFTR,HGNC:1884,Humans,DB04941; DB08820; DB09280; DB11712; DB15141; DB15444; DB18373
1197,Steryl-sulfatase,STS,338565,J04964,P08842,STS_HUMAN,1P49; 8EG3,STS,STS,HGNC:11425,Humans,DB02292
1198,Macrophage metalloelastase,MMP12,435970,L23808,P39900,MMP12_HUMAN,1JIZ; 1JK3; 1OS2; 1OS9; 1RMZ; 1ROS; 1UTT; 1UTZ; 1Y93; 1YCM; 1Z3J; 2HU6; 2JXY; 2K2G; 2K9C; 2KRJ; 2MLR; 2MLS; 2N8R; 2OXU; 2OXW; 2OXZ; 2POJ; 2W0D; 2WO8; 2WO9; 2WOA; 2Z2D; 3BA0; 3EHX; 3EHY; 3F15; 3F16; 3F17; 3F18; 3F19; 3F1A; 3LIK; 3LIL; 3LIR; 3LJG; 3LK8; 3LKA; 3N2U; 3N2V; 3NX7; 3RTS; 3RTT; 3TS4; 3TSK; 3UVC; 4EFS; 4GQL; 4GR0; 4GR3; 4GR8; 4GUY; 4H30; 4H49; 4H76; 4H84; 4I03; 4IJO; 5CXA; 5CZM; 5D2B; 5D3C; 5I0L; 5I2Z; 5I3M; 5I43; 5I4O; 5L79; 5L7F; 5LAB; 5N5J; 5N5K; 6EKN; 6ELA; 6ENM; 6EOX; 6RD0; 6RLY; 7OVY; 8B2N; 8RIJ,MMP12,MMP12,HGNC:7158,Humans,DB00786; DB02118; DB03367; DB07446; DB07683; DB07920; DB07922; DB08599
1203,Fibroblast growth factor receptor 4,FGFR4,31372,X57205,P22455,FGFR4_HUMAN,4QQ5; 4QQC; 4QQJ; 4QQT; 4QRC; 4R6V; 4TYE; 4TYG; 4TYI; 4TYJ; 4UXQ; 4XCU; 5JKG; 5NUD; 5NWZ; 5XFF; 5XFJ; 6IUO; 6IUP; 6J6Y; 6JPE; 6JPJ; 6NVG; 6NVH; 6NVI; 6NVJ; 6NVK; 6V9C; 6YI8; 7DTZ; 7F3M; 7N1J; 7TYD; 7V29; 7VJL; 7WCT; 7WCW; 7WCX; 7YBO; 7YBP; 7YBX; 7YC1; 7YC3; 7YSW; 8KH6; 8KH7; 8KH8; 8KH9; 8W5C; 8XLQ,FGFR4,FGFR4,HGNC:3691,Humans,DB09078; DB11886; DB12147; DB15149
1207,Catalase,CAT,1228085,X04085,P04040,CATA_HUMAN,1DGB; 1DGF; 1DGG; 1DGH; 1F4J; 1QQW; 7P8W; 7VD9; 8EL9; 8HID; 8PVD; 8SGV; 8WZH; 8WZJ; 8WZK; 8WZM,CAT,CAT,HGNC:1516,Humans,DB01213
1208,Interleukin-5,IL5,33836,X04688,P05113,IL5_HUMAN,1HUL; 3QT2; 3VA2; 8TLD,IL5,IL5,HGNC:6016,Humans,DB06602; DB06612; DB18846
1209,Casein kinase II subunit alpha,CSNK2A1,598147,J02853,P68400,CSK21_HUMAN,1JWH; 1NA7; 1PJK; 2PVR; 2ZJW; 3AMY; 3AT2; 3AT3; 3AT4; 3AXW; 3BQC; 3C13; 3FWQ; 3H30; 3JUH; 3MB6; 3MB7; 3NGA; 3NSZ; 3OWJ; 3OWK; 3OWL; 3PE1; 3PE2; 3PE4; 3Q04; 3Q9W; 3Q9X; 3Q9Y; 3Q9Z; 3QA0; 3R0T; 3RPS; 3TAX; 3U4U; 3U87; 3U9C; 3W8L; 3WAR; 3WIK; 3WIL; 3WOW; 4DGL; 4FBX; 4GRB; 4GUB; 4GYW; 4GYY; 4GZ3; 4IB5; 4KWP; 4MD7; 4MD8; 4MD9; 4NH1; 4RLL; 4UB7; 4UBA; 5B0X; 5CLP; 5CQU; 5CQW; 5CS6; 5CSH; 5CSP; 5CSV; 5CT0; 5CTP; 5CU0; 5CU2; 5CU3; 5CU4; 5CU6; 5CVF; 5CVG; 5CVH; 5CX9; 5H8B; 5H8E; 5H8G; 5HGV; 5KU8; 5KWH; 5M44; 5M4C; 5M4F; 5M4I; 5MMF; 5MMR; 5MO5; 5MO6; 5MO7; 5MO8; 5MOD; 5MOE; 5MOH; 5MOT; 5MOV; 5MOW; 5MP8; 5MPJ; 5N1V; 5N9K; 5N9L; 5N9N; 5NQC; 5OMY; 5ONI; 5OQU; 5ORH; 5ORJ; 5ORK; 5OS7; 5OS8; 5OSL; 5OSP; 5OSR; 5OSU; 5OSZ; 5OT5; 5OT6; 5OTD; 5OTH; 5OTI; 5OTL; 5OTO; 5OTP; 5OTQ; 5OTR; 5OTS; 5OTY; 5OTZ; 5OUE; 5OUL; 5OUM; 5OUU; 5OWH; 5OWL; 5OYF; 5T1H; 5VIE; 5VIF; 5ZN0; 5ZN1; 5ZN2; 5ZN3; 5ZN4; 5ZN5; 6A1C; 6E37; 6EHK; 6EHU; 6EII; 6FVF; 6FVG; 6GIH; 6GMD; 6HBN; 6HME; 6HNW; 6HNY; 6HOP; 6HOQ; 6HOR; 6HOT; 6HOU; 6JWA; 6L1Z; 6L21; 6L22; 6L23; 6L24; 6Q38; 6Q4Q; 6QY7; 6RB1; 6RCB; 6RCM; 6RFE; 6RFF; 6SPW; 6SPX; 6TEI; 6TLL; 6TLO; 6TLP; 6TLR; 6TLS; 6TLU; 6TLV; 6TLW; 6YPG; 6YPH; 6YPJ; 6YPK; 6YPN; 6YUL; 6YUM; 6YZH; 6Z19; 6Z83; 6Z84; 7A49; 7A4B; 7A4C; 7A4Q; 7AT5; 7AY9; 7AYA; 7B8H; 7B8I; 7BU4; 7L1X; 7PSU; 7QGB; 7QGC; 7QGD; 7QGE; 7QUX; 7X4H; 7Z39; 7ZWE; 7ZWG; 7ZY0; 7ZY2; 7ZY5; 7ZY8; 7ZYD; 7ZYK; 7ZYO; 7ZYR; 8AE7; 8AEC; 8AEK; 8AEM; 8BGC; 8C5Q; 8C6L; 8C6M; 8C6N; 8P05; 8P06; 8P07; 8PVO; 8PVP; 8QQB; 8QWY; 8QWZ; 9EPV; 9EPW; 9EPX; 9EPY; 9EPZ; 9EQ0; 9EQ1; 9EZG; 9FYF; 9I0Z; 9I10; 9I11; 9I12; 9I13; 9I17,CSNK2A1,CSNK2A1,HGNC:2457,Humans,DB01765; DB04462; DB07715; DB08473; DB08846
1223,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B",PDE3B,1145302,U38178,Q13370,PDE3B_HUMAN,1SO2; 1SOJ; 8SYC,PDE3B,PDE3B,HGNC:8779,Humans,DB00201; DB09283; DB16157
1240,Bifunctional purine biosynthesis protein ATIC,ATIC,1263196,U37436,P31939,PUR9_HUMAN,1P4R; 1PKX; 1PL0; 5UY8; 5UZ0,ATIC,ATIC,HGNC:794,Humans,DB00563; DB00642
1241,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,BST1,999429,D21878,Q10588,BST1_HUMAN,1ISF; 1ISG; 1ISH; 1ISI; 1ISJ; 1ISM,BST1,BST1,HGNC:1118,Humans,DB02701
1251,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,3641398,AF020038,O75874,IDHC_HUMAN,1T09; 1T0L; 3INM; 3MAP; 3MAR; 3MAS; 4I3K; 4I3L; 4KZO; 4L03; 4L04; 4L06; 4UMX; 4UMY; 4XRX; 4XS3; 5DE1; 5GIR; 5K10; 5K11; 5L57; 5L58; 5LGE; 5SUN; 5SVF; 5TQH; 5YFM; 5YFN; 6ADG; 6B0Z; 6BKX; 6BKY; 6BKZ; 6BL0; 6BL1; 6BL2; 6IO0; 6O2Y; 6O2Z; 6PAY; 6Q6F; 6U4J; 6VEI; 6VG0; 7PJM; 7PJN; 8BAY; 8HB9; 8T7D; 8T7N; 8T7O; 8VH9; 8VHA; 8VHB; 8VHC; 8VHD; 8VHE,IDH1,IDH1,HGNC:5382,Humans,DB14568; DB16267; DB17097
1260,"Thymidine kinase, cytosolic",TK1,339709,K02581,P04183,KITH_HUMAN,1W4R; 1XBT; 2ORV; 2WVJ,TK1,TK1,HGNC:11830,Humans,DB04485
1261,Genome polyprotein,,323655,M19197,P12823,POLG_DEN2P,1L9K; 1OAN; 1OK8; 1OKE; 1P58; 1R6A; 1R6R; 1THD; 2P1D; 2P3L; 2P3O; 2P3Q; 2P40; 2P41; 3J8D; 3ZKO,,,,DENV-2,DB00811
1263,Botulinum neurotoxin type B,botB,144735,M81186,P10844,BXB_CLOBO,1EPW; 1F31; 1F82; 1G9A; 1G9B; 1G9C; 1G9D; 1I1E; 1S0B; 1S0C; 1S0D; 1S0E; 1S0F; 1S0G; 1Z0H; 2ETF; 2NM1; 2NP0; 2XHL; 3ZUQ; 4KBB,,,,Clostridium botulinum,DB13903
1275,Tubulin alpha-1B chain,TUBA1B,340021,K00558,P68363,TBA1B_HUMAN,2E4H; 5IJ0; 5IJ9; 5N5N; 6E7B; 6E7C; 6I2I; 6J4V; 6J8O; 6QUS; 6QUY; 6QVE; 6QVJ; 6S8L; 7LXB; 7M18; 7M20; 7PJF; 7SJ7; 7SJ8; 7SJ9; 7SJA; 7Z6S; 7ZCW; 8T42; 8U3Z; 8V2J; 8VA2; 8VRJ; 8VRK; 8VT7; 9BP6,TUBA1B,TUBA1B,HGNC:18809,Humans,DB08974
1284,Tyrosine-protein kinase BTK,BTK,312467,X58957,Q06187,BTK_HUMAN,1AWW; 1AWX; 1B55; 1BTK; 1BWN; 1K2P; 1QLY; 2GE9; 2Z0P; 3GEN; 3K54; 3OCS; 3OCT; 3P08; 3PIX; 3PIY; 3PIZ; 3PJ1; 3PJ2; 3PJ3; 4NWM; 4OT5; 4OT6; 4OTF; 4OTQ; 4OTR; 4RFY; 4RFZ; 4RG0; 4RX5; 4YHF; 4Z3V; 4ZLY; 4ZLZ; 5BPY; 5BQ0; 5FBN; 5FBO; 5J87; 5JRS; 5KUP; 5P9F; 5P9G; 5P9H; 5P9I; 5P9J; 5P9K; 5P9L; 5P9M; 5T18; 5U9D; 5VFI; 5VGO; 5XYZ; 5ZZ4; 6AUA; 6AUB; 6BIK; 6BKE; 6BKH; 6BKW; 6BLN; 6DI0; 6DI1; 6DI3; 6DI5; 6DI9; 6E4F; 6EP9; 6HRP; 6HRT; 6HTF; 6J6M; 6N9P; 6NFH; 6NFI; 6NZM; 6O8I; 6OMU; 6S90; 6TFP; 6TSE; 6TT2; 6TUH; 6TVN; 6VXQ; 6W06; 6W07; 6W7O; 6W8I; 6X3N; 6X3O; 6X3P; 6XE4; 6YYF; 6YYG; 6YYK; 7KXL; 7KXM; 7KXN; 7KXO; 7KXP; 7KXQ; 7L5O; 7L5P; 7LTY; 7LTZ; 7N4Q; 7N4R; 7N4S; 7N5O; 7N5R; 7N5X; 7N5Y; 7R60; 7R61; 7YC9; 8DSO; 8E2M; 8EJB; 8FLG; 8FLH; 8FLL; 8FLN; 8FLV; 8GC7; 8GC8; 8TU3; 8TU4; 8TU5; 8U2D; 8U2E; 8YVV,BTK,BTK,HGNC:1133,Humans,DB01863; DB09053; DB11703; DB14785; DB14924; DB15035; DB15170; DB15227; DB15347; DB16657; DB16852; DB17472; DB17709; DB18632
1287,"3',5'-cyclic-AMP phosphodiesterase 4D",PDE4D,347130,L20970,Q08499,PDE4D_HUMAN,1E9K; 1MKD; 1OYN; 1PTW; 1Q9M; 1TB7; 1TBB; 1XOM; 1XON; 1XOQ; 1XOR; 1Y2B; 1Y2C; 1Y2D; 1Y2E; 1Y2K; 1ZKN; 2FM0; 2FM5; 2PW3; 2QYN; 3G4G; 3G4I; 3G4K; 3G4L; 3G58; 3IAD; 3IAK; 3K4S; 3SL3; 3SL4; 3SL5; 3SL6; 3SL8; 3V9B; 4OGB; 4W1O; 4WCU; 5K1I; 5K32; 5LBO; 5TKB; 5WH5; 5WH6; 5WQA; 6AKR; 6BOJ; 6F6U; 6F8R; 6F8T; 6F8U; 6F8V; 6F8W; 6F8X; 6FDC; 6FDI; 6FE7; 6FEB; 6FET; 6FT0; 6FTA; 6FTW; 6FW3; 6HWO; 6IAG; 6IBF; 6IM6; 6IMB; 6IMD; 6IMI; 6IMO; 6IMR; 6IMT; 6IND; 6INK; 6INM; 6KJZ; 6KK0; 6LRM; 6NJH; 6NJI; 6NJJ; 6RCW; 6ZBA; 7A8Q; 7A9V; 7AAG; 7AB9; 7ABD; 7ABE; 7ABJ; 7AY6; 7B9H; 7CBJ; 7CBQ; 7F2K; 7F2L; 7F2M; 7W4X; 7W4Y; 7XAA; 7XAB; 7XBB; 7YQF; 7YSX; 8K4C; 8K4H; 8W4Q; 8W4R; 8WDN; 8WDO; 8XXS; 8YLC; 8ZQ1; 8ZQ2; 8ZQU; 8ZQW,PDE4D,PDE4D,HGNC:8783,Humans,DB00201; DB00651; DB01427; DB01656; DB01791; DB01954; DB03849; DB05219; DB07954; DB09283; DB14987; DB16157
1292,Cruzipain,,162048,M84342,P25779,CYSP_TRYCR,1AIM; 1EWL; 1EWM; 1EWO; 1EWP; 1F29; 1F2A; 1F2B; 1F2C; 1ME3; 1ME4; 1U9Q; 2AIM; 2OZ2; 3HD3; 3I06; 3IUT; 3KKU; 3LXS; 4KLB; 4PI3; 4QH6; 4W5B; 4W5C; 4XUI,,,,Trypanosoma cruzi,DB12148
1315,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",PIK3CG,1507822,X83368,P48736,PK3CG_HUMAN,1E8Y; 1E8Z; 1HE8; 2A4Z; 2A5U; 2CHW; 2CHX; 2CHZ; 2V4L; 3APC; 3APD; 3APF; 3CSF; 3CST; 3DBS; 3DPD; 3ENE; 3IBE; 3L08; 3L13; 3L16; 3L17; 3L54; 3LJ3; 3MJW; 3ML8; 3ML9; 3NZS; 3NZU; 3OAW; 3P2B; 3PRE; 3PRZ; 3PS6; 3QAQ; 3QAR; 3QJZ; 3QK0; 3R7Q; 3R7R; 3S2A; 3SD5; 3T8M; 3TJP; 3TL5; 3ZVV; 3ZW3; 4ANU; 4ANV; 4ANW; 4ANX; 4AOF; 4DK5; 4EZJ; 4EZK; 4EZL; 4F1S; 4FA6; 4FAD; 4FHJ; 4FHK; 4FJY; 4FJZ; 4FLH; 4FUL; 4G11; 4GB9; 4HLE; 4HVB; 4J6I; 4KZ0; 4KZC; 4PS3; 4PS7; 4PS8; 4URK; 4WWN; 4WWO; 4WWP; 4XX5; 4XZ4; 5EDS; 5G2N; 5G55; 5JHA; 5JHB; 5KAE; 5OQ4; 5T23; 6AUD; 6C1S; 6FH5; 6GQ7; 6T3B; 6T3C; 6XRL; 6XRM; 6XRN; 7JWE; 7JWZ; 7JX0; 7KKE; 7MEZ; 7Z61; 8DP0; 8SC8; 9GG9,PIK3CG,PIK3CG,HGNC:8978,Humans,DB02375; DB02656; DB04769; DB05552; DB07503; DB08059; DB11952; DB12015
1316,Tyrosine-protein kinase SYK,SYK,496900,Z29630,P43405,KSYK_HUMAN,1A81; 1CSY; 1CSZ; 1XBA; 1XBB; 1XBC; 3BUW; 3EMG; 3FQE; 3FQH; 3FQS; 3SRV; 3TUB; 3TUC; 3TUD; 3VF8; 3VF9; 4DFL; 4DFN; 4F4P; 4FL1; 4FL2; 4FL3; 4FYN; 4FYO; 4FZ6; 4FZ7; 4GFG; 4I0R; 4I0S; 4I0T; 4PUZ; 4PV0; 4PX6; 4RSS; 4RX7; 4RX8; 4RX9; 4WNM; 4XG2; 4XG3; 4XG4; 4XG6; 4XG7; 4XG8; 4XG9; 4YJO; 4YJP; 4YJQ; 4YJR; 4YJS; 4YJT; 4YJU; 4YJV; 5C26; 5C27; 5CXH; 5CXZ; 5CY3; 5GHV; 5LMA; 5LMB; 5T68; 5TIU; 5TR6; 5TT7; 5Y5T; 5Y5U; 6HM6; 6HM7; 6SSB; 6VOV; 6ZC0; 6ZCP; 6ZCQ; 6ZCR; 6ZCS; 6ZCU; 6ZCX; 6ZCY; 7Q5T; 7Q5U; 7Q5W; 7Q63; 7SA7; 8BI2; 8RRQ; 8RRZ; 8WYW; 8X5K; 8XQ0; 8XQ1; 8XQ2,SYK,SYK,HGNC:11491,Humans,DB07159; DB08361; DB08846; DB12010
1331,Capsid scaffolding protein,UL80,1780857,X17403,P16753,SCAF_HCMVA,1CMV; 1ID4; 1IEC; 1IED; 1IEF; 1IEG; 1JQ6; 1JQ7; 1LAY; 1NJT; 1NJU; 1NKK; 1NKM; 1WPO; 2WPO,,,,HHV-5,DB07436
1340,Tubulin alpha-1A chain,TUBA1A,37492,X01703,Q71U36,TBA1A_HUMAN,5JCO; 6J8F; 6WSL; 7C1M; 7UN1; 7UNG; 8J07; 8SH7,TUBA1A,TUBA1A,HGNC:20766,Humans,DB00570; DB00643; DB08974
1341,Tyrosine-protein kinase ITK/TSK,ITK,399658,D13720,Q08881,ITK_HUMAN,1SM2; 1SNU; 1SNX; 2E6I; 2LMJ; 2YUQ; 3MIY; 3MJ1; 3MJ2; 3QGW; 3QGY; 3T9T; 3V5J; 3V5L; 3V8T; 3V8W; 4HCT; 4HCU; 4HCV; 4KIO; 4L7S; 4M0Y; 4M0Z; 4M12; 4M13; 4M14; 4M15; 4MF0; 4MF1; 4PP9; 4PPA; 4PPB; 4PPC; 4PQN; 4QD6; 4RFM,ITK,ITK,HGNC:6171,Humans,DB14924
1349,D-alanyl-D-alanine carboxypeptidase,,515050,X05109,P15555,DAC_STRSR,1CEF; 1CEG; 1HVB; 1IKG; 1IKI; 1MPL; 1PW1; 1PW8; 1PWC; 1PWD; 1PWG; 1SCW; 1SDE; 1YQS; 2PTE; 3PTE,,,,Streptomyces sp. (strain R61),DB00456
1353,Galectin-3,LGALS3,179531,M57710,P17931,LEG3_HUMAN,1A3K; 1KJL; 1KJR; 2NMN; 2NMO; 2NN8; 2XG3; 3AYA; 3AYC; 3AYD; 3AYE; 3T1L; 3T1M; 3ZSJ; 3ZSK; 3ZSL; 3ZSM; 4BLI; 4BLJ; 4BM8; 4JC1; 4JCK; 4LBJ; 4LBK; 4LBL; 4LBM; 4LBN; 4LBO; 4R9A; 4R9B; 4R9C; 4R9D; 4RL7; 4XBN; 5E88; 5E89; 5E8A; 5EXO; 5H9P; 5H9R; 5IUQ; 5NF7; 5NF9; 5NFA; 5NFB; 5NFC; 5OAX; 5ODY; 6B8K; 6EOG; 6EOL; 6EXY; 6EYM; 6F2Q; 6F6Y; 6FK2; 6FOF; 6G0V; 6H64; 6I74; 6I75; 6I76; 6I77; 6I78; 6KXA; 6KXB; 6Q0Q; 6Q17; 6QGE; 6QGF; 6QLN; 6QLO; 6QLP; 6QLQ; 6QLR; 6QLS; 6QLT; 6QLU; 6RHL; 6RHM; 6RZF; 6RZG; 6RZH; 6RZI; 6RZJ; 6RZK; 6RZL; 6RZM; 6TF6; 6TF7; 6Y4C; 6Y78; 6ZVF; 7BE3; 7CXA; 7DF5; 7RDO; 7RDP; 7RGX; 7RGY; 7RGZ; 7RH0; 7RH1; 7RH3; 7RH4; 7XFA; 7ZQX; 8BZ3; 8ITX; 8ITZ; 8OJI; 8OJK; 8OJM; 8OJO; 8PBF; 8PF9; 8PFF; 8PPN; 8RMT; 8RMU; 8RMV; 8RR7; 8RR8; 8RR9; 8RRA; 8RRB; 8RRC; 8RRE; 8RRF; 8RRG; 8S67; 8YMD; 8Z1S; 8Z1T; 8Z25; 8ZUV,LGALS3,LGALS3,HGNC:6563,Humans,DB01827
1358,Beta-lactamase,ampC,145267,J01611,P00811,AMPC_ECOLI,1C3B; 1FCM; 1FCN; 1FCO; 1FSW; 1FSY; 1GA9; 1I5Q; 1IEL; 1IEM; 1KDS; 1KDW; 1KE0; 1KE3; 1KE4; 1KVL; 1KVM; 1L0D; 1L0E; 1L0F; 1L0G; 1L2S; 1LL5; 1LL9; 1LLB; 1MXO; 1MY8; 1O07; 1PI4; 1PI5; 1XGI; 1XGJ; 2BLS; 2FFY; 2HDQ; 2HDR; 2HDS; 2HDU; 2I72; 2P9V; 2PU2; 2PU4; 2R9W; 2R9X; 2RCX; 3BLS; 3BM6; 3FKV; 3FKW; 3GQZ; 3GR2; 3GRJ; 3GSG; 3GTC; 3GV9; 3GVB; 3IWI; 3IWO; 3IWQ; 3IXB; 3IXD; 3IXG; 3IXH; 3O86; 3O87; 3O88; 4E3I; 4E3J; 4E3K; 4E3L; 4E3M; 4E3N; 4E3O; 4JXG; 4JXS; 4JXV; 4JXW; 4KEN; 4KG2; 4KG5; 4KG6; 4KZ3; 4KZ4; 4KZ5; 4KZ6; 4KZ7; 4KZ8; 4KZ9; 4KZA; 4KZB; 4LV0; 4LV1; 4LV2; 4LV3; 4OKP; 4OLD; 4OLG,,,,Escherichia coli (strain K12),DB00456
1359,Tubulin alpha-8 chain,TUBA8,7594610,AJ245922,Q9NY65,TBA8_HUMAN,,TUBA8,TUBA8,HGNC:12410,Humans,DB08974
1363,Lethal factor,lef,143144,M29081,P15917,LEF_BACAN,1J7N; 1JKY; 1PWP; 1PWQ; 1PWU; 1PWV; 1PWW; 1YQY; 1ZXV; 2L0R; 3KWV; 4DV8; 4PKQ; 4PKR; 4PKS; 4PKT; 4PKU; 4PKV; 4PKW; 4WF6; 4XM6; 4XM7; 4XM8; 5D1S; 5D1T; 5D1U,,,,Bacillus anthracis,DB01883; DB02255; DB04452
1367,Tubulin beta-4B chain,TUBB4B,37494,X02344,P68371,TBB4B_HUMAN,7UN1; 7UNG; 8J07; 8SH7,TUBB4B,TUBB2C,HGNC:20771,Humans,DB00643
1373,MAP kinase-activated protein kinase 2,MAPKAPK2,530090,U12779,P49137,MAPK2_HUMAN,1KWP; 1NXK; 1NY3; 2JBO; 2JBP; 2OKR; 2ONL; 2OZA; 2P3G; 2PZY; 3A2C; 3FPM; 3FYJ; 3FYK; 3GOK; 3KA0; 3KC3; 3KGA; 3M2W; 3M42; 3R2B; 3R2Y; 3R30; 3WI6; 4TYH; 6T8X; 6TCA; 7NRY; 8XU4; 8XX1,MAPKAPK2,MAPKAPK2,HGNC:6887,Humans,DB07430; DB08358
1385,Protein kinase C theta type,PRKCQ,558099,L01087,Q04759,KPCT_HUMAN,1XJD; 2ENJ; 2ENN; 2ENZ; 2JED; 4Q9Z; 4RA5; 5F9E,PRKCQ,PRKCQ,HGNC:9410,Humans,DB00675
1388,Tubulin alpha-1C chain,TUBA1C,13436317,BC004949,Q9BQE3,TBA1C_HUMAN,,TUBA1C,TUBA1C,HGNC:20768,Humans,DB08974
1391,Tubulin alpha-4A chain,TUBA4A,32015,X06956,P68366,TBA4A_HUMAN,,TUBA4A,TUBA4A,HGNC:12407,Humans,DB01179; DB08974
